"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"República Eslovaca","SVK",NA,NA,NA,NA,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,25.2,23.2,25,23.2,24.2,24.1,24.1,23.8,NA
"Eslovenia","SVN",NA,NA,29.1,30.9,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2,24.6,24.4,24,24.3,24.3,24.7,NA
"Suecia","SWE",27,26.5,26.2,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8,30,29.3,28.9,29.8,31.6,29.3,NA
"República Árabe Siria","SYR",NA,NA,NA,37.5,NA,NA,40.1,NA,NA,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA
"Chad","TCD",NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,37.4,NA,NA
"Togo","TGO",NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,46,NA,NA,NA,43,NA,NA,42.5,NA,NA,37.9,NA,NA,NA
"Tailandia","THA",42.8,NA,41.9,NA,42.5,NA,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.7,36.4,36.4,34.9,35,34.9,34.3,33.5,NA
"Tayikistán","TJK",NA,NA,NA,32.7,33.6,NA,NA,32.2,NA,30.8,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,32.4,39.5,38,36.1
"Tonga","TON",37.7,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,27.1,NA,NA,NA
"Túnez","TUN",40.8,NA,NA,NA,NA,37.7,NA,NA,NA,NA,38.5,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,33.7,NA,NA,NA
"Turquía","TUR",NA,NA,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9,43.5,42.4,43.8,43,44.4,44.5,NA,NA
"Tanzanía","TZA",37.3,NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA
"Uganda","UGA",NA,NA,45.2,NA,NA,42.9,NA,NA,NA,44.2,NA,NA,41,NA,NA,NA,42.8,NA,NA,42.7,NA,NA,NA,NA,NA
"Ucrania","UKR",NA,NA,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,26,26.1,26.6,25.6,NA,NA,NA,NA
"Uruguay","URY",43.4,45,45.5,45,45.9,44.7,45.9,46.4,45.1,45.5,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,40.6,40.9,40
"Estados Unidos","USA",40.1,40.6,40.4,40.8,40.5,41.3,41.7,41.1,41.1,40.8,40.2,41.2,41.2,40.9,41.7,41.5,41.3,41.4,41.8,41.9,40,39.7,41.7,41.8,NA
"Uzbekistán","UZB",35.9,NA,33,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,31.2,34.5,34.6
"Venezuela","VEN",NA,47.2,48.9,47.9,47.3,49.3,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Viet Nam","VNM",NA,NA,37,NA,36.8,NA,35.8,NA,35.6,NA,39.3,NA,35.6,NA,34.8,NA,35.3,NA,35.7,NA,36.8,NA,36.1,NA,NA
"Kosovo","XKX",NA,NA,NA,29,NA,31.2,30.3,NA,NA,31.8,33.3,27.8,29,26.3,27.3,26.5,26.7,44.2,44.6,40.2,57.4,49.4,38.3,NA,NA
"Sudáfrica","ZAF",57.8,NA,NA,NA,NA,64.8,NA,NA,63,NA,63.4,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zambia","ZMB",NA,NA,42.1,NA,54.3,NA,54.6,NA,NA,NA,52,NA,NA,NA,NA,55.8,NA,NA,NA,NA,NA,NA,51.5,NA,NA
